file,content_group,expected_processing,matching_orientation_degrees,physical_rotation_degrees,tags
a-original.mp4,A,success,0,0,base
a-rot90.mp4,A,success,90,90,physical_rotation
a-rot180.mp4,A,success,180,180,physical_rotation
a-rot270.mp4,A,success,270,270,physical_rotation
a-letterbox.mp4,A,success,0,0,letterbox
a-pillarbox.mp4,A,success,0,0,pillarbox
a-monochrome-ends.mp4,A,success,0,0,monochrome_at_8_and_96
a-display-matrix.mp4,A,success,0,90,display_matrix_90
b-original.mp4,B,success,0,0,negative_base
b-pillarbox.mp4,B,success,0,0,negative_same_pillarbox
